"No.","Time","Source","Destination","Protocol","Length","Info"
"98","0.734922","MotionContro_5f:a0:50","Broadcast","ARP","60","Who has 192.168.153.29? Tell 192.168.153.58"
"99","0.750582","JRCTOKKI_e5:71:ff","Broadcast","ARP","60","ARP Announcement for 10.9.8.201"
"100","0.755477","a2imarketing_71:0d:c5","Broadcast","ARP","60","Who has 192.168.153.1? Tell 192.168.153.24"
"101","0.763346","Intel_39:3a:16","Broadcast","ARP","60","Who has 169.254.169.254? Tell 192.168.20.232"
"102","0.772577","172.16.20.30","224.0.0.251","MDNS","88","Standard query 0x0000 ANY AD-Head-IT._dosvc._tcp.local, ""QM"" question"
"103","0.772764","fe80::67d3:bc3f:b671:a7a6","ff02::fb","MDNS","108","Standard query 0x0000 ANY AD-Head-IT._dosvc._tcp.local, ""QM"" question"
"104","0.795029","Dell_84:a2:80","Broadcast","ARP","60","Who has 192.168.20.1? Tell 192.168.20.201"
"105","0.798441","Sophos_be:b2:ba","Broadcast","ARP","60","Who has 10.20.5.164? Tell 10.20.0.1"
"106","0.799754","Dell_84:a3:29","Broadcast","ARP","60","Who has 192.168.20.1? Tell 192.168.20.194"
"107","0.833981","JRCTOKKI_a4:69:5a","Broadcast","ARP","60","Who has 192.168.153.1? Tell 192.168.153.13"
"108","0.837708","MotionContro_5f:a8:58","Broadcast","ARP","60","Who has 192.168.153.29? Tell 192.168.153.56"
"109","0.837708","Intel_39:3a:16","Broadcast","ARP","60","Who has 192.168.20.1? Tell 192.168.20.232"
"110","0.873915","Sophos_be:b2:ba","Broadcast","ARP","60","Who has 10.20.5.55? Tell 10.20.0.1"
"111","0.891114","MotionContro_5f:92:2a","Broadcast","ARP","60","Who has 192.168.153.29? Tell 192.168.153.48"
"112","0.905911","a2imarketing_c3:cf:dc","Broadcast","ARP","60","Who has 192.168.153.60? Tell 192.168.153.46"
"113","0.905974","10.20.5.186","224.0.0.251","MDNS","93","Standard query 0x0000 ANY LAPTOP-54IK1RK4._dosvc._tcp.local, ""QM"" question"
"114","0.906157","fe80::5441:f84f:a338:11a5","ff02::fb","MDNS","113","Standard query 0x0000 ANY LAPTOP-54IK1RK4._dosvc._tcp.local, ""QM"" question"
"115","0.916820","fe80::e880:84c0:7dad:e532","ff02::1:3","LLMNR","89","Standard query 0x519e AAAA Antivirus"
"116","0.916820","192.168.20.205","224.0.0.252","LLMNR","69","Standard query 0x519e AAAA Antivirus"
"117","0.916820","fe80::e880:84c0:7dad:e532","ff02::1:3","LLMNR","89","Standard query 0x228a A Antivirus"
"118","0.916820","192.168.20.205","224.0.0.252","LLMNR","69","Standard query 0x228a A Antivirus"
"119","0.917435","192.168.20.205","192.168.20.255","NBNS","92","Name query NB ANTIVIRUS<00>"
"120","0.945032","JRCTOKKI_2c:94:40","Broadcast","ARP","60","Who has 192.168.153.29? Tell 192.168.153.54"
"121","0.954935","JRCTOKKI_2f:e4:51","Broadcast","ARP","60","Who has 10.9.8.149? Tell 10.9.8.121"
"122","0.971024","JRCTOKKI_a4:6e:52","Broadcast","ARP","60","ARP Announcement for 10.9.8.148"
"123","0.989076","JRCTOKKI_a4:6d:3b","Broadcast","ARP","60","ARP Announcement for 10.9.8.65"
"124","1.023897","JRCTOKKI_2c:bd:0b","Broadcast","ARP","60","Who has 192.168.153.29? Tell 192.168.153.59"
"125","1.024324","JRCTOKKI_33:5f:21","Broadcast","ARP","60","Who has 192.168.153.29? Tell 192.168.153.53"
"126","1.031496","172.16.20.30","224.0.0.251","MDNS","88","Standard query 0x0000 ANY AD-Head-IT._dosvc._tcp.local, ""QM"" question"
"127","1.031496","fe80::67d3:bc3f:b671:a7a6","ff02::fb","MDNS","108","Standard query 0x0000 ANY AD-Head-IT._dosvc._tcp.local, ""QM"" question"
"128","1.045477","192.168.7.112","224.0.0.251","MDNS","351","Standard query response 0x0000 PTR, cache flush Vipul-adit.local PTR, cache flush Vipul-adit.local PTR, cache flush Vipul-adit.local NSEC, cache flush D.9.8.6.B.0.2.A.F.E.7.1.2.F.4.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 112.7.168.192.in-addr.arpa NSEC, cache flush C.4.6.0.7.F.2.3.1.B.4.C.F.9.C.1.0.0.0.0.E.5.A.B.E.6.1.3.8.B.D.F.ip6.arpa OPT"
"129","1.045477","fe80::4f2:17ef:a20b:689d","ff02::fb","MDNS","371","Standard query response 0x0000 PTR, cache flush Vipul-adit.local PTR, cache flush Vipul-adit.local PTR, cache flush Vipul-adit.local NSEC, cache flush D.9.8.6.B.0.2.A.F.E.7.1.2.F.4.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 112.7.168.192.in-addr.arpa NSEC, cache flush C.4.6.0.7.F.2.3.1.B.4.C.F.9.C.1.0.0.0.0.E.5.A.B.E.6.1.3.8.B.D.F.ip6.arpa OPT"
"130","1.047288","10.20.5.196","224.0.0.251","MDNS","76","Standard query 0x1383 PTR Vipul-adit.local, ""QM"" question"
"131","1.052065","JRCTOKKI_a4:6a:0c","Broadcast","ARP","60","ARP Announcement for 10.9.8.137"
"132","1.063039","MotionContro_5f:b0:92","Broadcast","ARP","60","Who has 192.168.153.29? Tell 192.168.153.49"
"133","1.077973","192.168.20.194","224.0.0.251","MDNS","75","Standard query 0x0000 A Antivirus.local, ""QM"" question"
"134","1.077973","172.16.3.4","224.0.0.251","MDNS","85","Standard query response 0x0000 A 172.16.3.4"
"135","1.078114","fe80::5dfa:117c:525e:8ef7","ff02::fb","MDNS","95","Standard query 0x0000 A Antivirus.local, ""QM"" question"
"136","1.078377","10.20.5.196","224.0.0.251","MDNS","75","Standard query 0x028c PTR Antivirus.local, ""QM"" question"
"137","1.080131","192.168.20.194","224.0.0.251","MDNS","75","Standard query 0x0000 AAAA Antivirus.local, ""QM"" question"
"138","1.080131","172.16.3.4","224.0.0.251","MDNS","104","Standard query response 0x0000 NSEC Antivirus.local"
"139","1.080131","fe80::5dfa:117c:525e:8ef7","ff02::fb","MDNS","95","Standard query 0x0000 AAAA Antivirus.local, ""QM"" question"
"140","1.081846","MantraSoftec_3:5f:22","Broadcast","ARP","60","Who has 192.168.5.1? Tell 192.168.5.95"
"141","1.081846","fe80::5dfa:117c:525e:8ef7","ff02::1:3","LLMNR","89","Standard query 0x5156 A Antivirus"
"142","1.081846","192.168.20.194","224.0.0.252","LLMNR","69","Standard query 0x5156 A Antivirus"
"143","1.082843","fe80::5dfa:117c:525e:8ef7","ff02::1:3","LLMNR","89","Standard query 0x6733 AAAA Antivirus"
"144","1.082843","192.168.20.194","224.0.0.252","LLMNR","69","Standard query 0x6733 AAAA Antivirus"
"145","1.128398","Dell_84:a2:eb","Broadcast","ARP","60","Who has 192.168.20.2? Tell 192.168.20.193"
"146","1.148859","JRCTOKKI_a4:69:46","Broadcast","ARP","60","ARP Announcement for 10.9.8.124"
"147","1.156750","JRCTOKKI_2f:e4:0c","Broadcast","ARP","60","Who has 10.9.8.169? Tell 10.9.8.156"
"148","1.156923","10.20.5.143","20.198.119.84","TLSv1.2","97","Application Data"
"149","1.163343","JRCTOKKI_a4:6d:f0","Broadcast","ARP","60","ARP Announcement for 10.9.8.59"
"150","1.165643","JRCTOKKI_2f:e4:0c","Broadcast","ARP","60","Who has 10.9.8.173? Tell 10.9.8.156"
"151","1.167338","JRCTOKKI_2f:e4:0c","Broadcast","ARP","60","Who has 10.9.8.166? Tell 10.9.8.156"
"152","1.172977","10.20.5.186","224.0.0.251","MDNS","93","Standard query 0x0000 ANY LAPTOP-54IK1RK4._dosvc._tcp.local, ""QM"" question"
"153","1.172977","fe80::5441:f84f:a338:11a5","ff02::fb","MDNS","113","Standard query 0x0000 ANY LAPTOP-54IK1RK4._dosvc._tcp.local, ""QM"" question"
"154","1.178926","20.198.119.84","10.20.5.143","TLSv1.2","228","Application Data"
"155","1.178926","JRCTOKKI_2f:e4:0c","Broadcast","ARP","60","Who has 10.9.8.168? Tell 10.9.8.156"
"156","1.188134","JRCTOKKI_2f:e4:0c","Broadcast","ARP","60","Who has 10.9.8.174? Tell 10.9.8.156"
"157","1.189326","Cisco_3b:9e:20","Broadcast","ARP","60","Who has 10.9.8.61? Tell 0.0.0.0"
"158","1.193193","JRCTOKKI_a4:72:9c","Broadcast","ARP","60","ARP Announcement for 10.9.8.71"
"159","1.213140","JRCTOKKI_e5:71:27","Broadcast","ARP","60","ARP Announcement for 10.9.8.207"
"160","1.219344","10.20.5.143","20.198.119.84","TCP","54","50543  >  443 [ACK] Seq=44 Ack=175 Win=515 Len=0"
"161","1.222974","JRCTOKKI_2f:e4:0c","Broadcast","ARP","60","Who has 10.9.8.167? Tell 10.9.8.156"
"162","1.258344","ElitegroupCo_e6:28:46","Broadcast","ARP","60","Who has 172.16.3.186? Tell 172.16.3.226"
